PROV87;Salinas;;;;;;;;;;;x
PROV88;Fresno;;;;;;;;;;;x
PROV278;Derby;;;;;;;;;;;x
PROV283;Scarborough;;;;;;;;;;;x
PROV295;Luton;;;;;;;;;;;x
PROV310;Kristiansand;;;;;;;;;;;x
PROV337;Leikanger;;;;;;;;;;;x
PROV347;Stavanger;;;;;;;;;;;x
PROV350;Wesenberg;;;;;;;;;;;x
PROV351;Pernau;;;;;;;;;;;x
PROV353;Arensburg;;;;;;;;;;;x
PROV355;Wolmar;;;;;;;;;;;x
PROV356;Dünaburg;;;;;;;;;;;x
PROV357;Mitau;;;;;;;;;;;x
PROV358;Windau;;;;;;;;;;;x
PROV359;Grobin;;;;;;;;;;;x
PROV360;Vilna;;;;;;;;;;;x
PROV361;Kovno;;;;;;;;;;;x
PROV363;Ponevezh;;;;;;;;;;;x
PROV364;Shavel;;;;;;;;;;;x
PROV365;Telsiai;;;;;;;;;;;x
PROV380;Jönköping;;;;;;;;;;;x
PROV393;Skövde;;;;;;;;;;;x
PROV394;Mons;;;;;;;;;;;x
PROV396;Kristianstad;;;;;;;;;;;x
PROV400;Agen;;;;;;;;;;;x
PROV404;Périgueux;;;;;;;;;;;x
PROV413;Bar-le-Duc;;;;;;;;;;;x
PROV471;Guéret;;;;;;;;;;;x
PROV476;Pontevedra;;;;;;;;;;;x
PROV485;Zamora;;;;;;;;;;;x
PROV488;Guadalajara;;;;;;;;;;;x
PROV502;Mallorca;;;;;;;;;;;x
PROV506;Segovia;;;;;;;;;;;x
PROV524;Viseu;;;;;;;;;;;x
PROV535;Halmstad;;;;;;;;;;;x
PROV538;Eupen-Malmedy;;;;;;;;;;;x
PROV541;Nigde;;;;;;;;;;;x
PROV550;Minorca;;;;;;;;;;;x
PROV551;Yozgat;;;;;;;;;;;x
PROV557;Mamuret-ul-Aziz;;;;;;;;;;;x
PROV568;Gwadar;;;;;;;;;;;x
PROV574;Nyköping;;;;;;;;;;;x
PROV577;Orkney;;;;;;;;;;;x
PROV583;Igdir;;;;;;;;;;;x
PROV596;Artvin;;;;;;;;;;;x
