EVTDESC188718953;The Hamburg-American freighter, Palatia, Capt. Kopff, which arrived this morning, was the first steamer to pass through the new Kiel canal. The canal was practically finished, and it was to test the navigability that the Palatia was sent through. She touched bottom several times, but did not stick fast and sustained no damage. The New York Times, June 23, 1895.;Le cargo américain de Hambourg, Palatia, du capitaine Kopff, qui est arrivé ce matin, était le premier vapeur pour à passer par le nouveau cana de Kiel. Le canal a été pratiquement fini et sait pour tester la navigabilité que le Palatia a été envoyé par. Elle a touché le fond plusieurs fois, mais n'a pas collé et n'a supporté aucun dégât. New York Times, le 23 juin 1895.;The Hamburg-American freighter, Palatia, Capt. Kopff, which arrived this morning, was the first steamer to pass through the new Kiel canal. The canal was practically finished, and it was to test the navigability that the Palatia was sent through. She touched bottom several times, but did not stick fast and sustained no damage. The New York Times, June 23, 1895.;The Hamburg-American freighter, Palatia, Capt. Kopff, which arrived this morning, was the first steamer to pass through the new Kiel canal. The canal was practically finished, and it was to test the navigability that the Palatia was sent through. She touched bottom several times, but did not stick fast and sustained no damage. The New York Times, June 23, 1895.;The Hamburg-American freighter, Palatia, Capt. Kopff, which arrived this morning, was the first steamer to pass through the new Kiel canal. The canal was practically finished, and it was to test the navigability that the Palatia was sent through. She touched bottom several times, but did not stick fast and sustained no damage. The New York Times, June 23, 1895.;The Hamburg-American freighter, Palatia, Capt. Kopff, which arrived this morning, was the first steamer to pass through the new Kiel canal. The canal was practically finished, and it was to test the navigability that the Palatia was sent through. She touched bottom several times, but did not stick fast and sustained no damage. The New York Times, June 23, 1895.;The Hamburg-American freighter, Palatia, Capt. Kopff, which arrived this morning, was the first steamer to pass through the new Kiel canal. The canal was practically finished, and it was to test the navigability that the Palatia was sent through. She touched bottom several times, but did not stick fast and sustained no damage. The New York Times, June 23, 1895.;The Hamburg-American freighter, Palatia, Capt. Kopff, which arrived this morning, was the first steamer to pass through the new Kiel canal. The canal was practically finished, and it was to test the navigability that the Palatia was sent through. She touched bottom several times, but did not stick fast and sustained no damage. The New York Times, June 23, 1895.;;;;;;x
building_suez_canal;Building the Suez Canal;Construction du Canal de Suez;Building the Suez Canal;Building the Suez Canal;Building the Suez Canal;Building the Suez Canal;Building the Suez Canal;Building the Suez Canal;;;;;;x
building_suez_canal_desc;The Suez Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 10 years.;Le Canal de Suez est actuellement en construction. Après chaque phase complétée un événement  vous gardera informé des progrès. La construction prendra environ 10 ans.;The Suez Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 10 years.;The Suez Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 10 years.;The Suez Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 10 years.;The Suez Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 10 years.;The Suez Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 10 years.;The Suez Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 10 years.;;;;;;x
building_panama_canal;Building the Panama Canal;Construction du Canal de Panama;Building the Panama Canal;Building the Panama Canal;Building the Panama Canal;Building the Panama Canal;Building the Panama Canal;Building the Panama Canal;;;;;;x
building_panama_canal_desc;The Panama Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 12.5 years.;Le Canal de Panama  est actuellement en construction. Après chaque phase complétée un événement  vous gardera informé des progrès. La construction prendra environ 12ans et demi.;The Panama Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 12.5 years.;The Panama Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 12.5 years.;The Panama Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 12.5 years.;The Panama Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 12.5 years.;The Panama Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 12.5 years.;The Panama Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 12.5 years.;;;;;;x
building_kiel_canal;Building the Kiel Canal;Construction du Canal de Kiel;Building the Kiel Canal;Building the Kiel Canal;Building the Kiel Canal;Building the Kiel Canal;Building the Kiel Canal;Building the Kiel Canal;;;;;;x
building_kiel_canal_desc;The Kiel Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 8 years.;Le Canal de Kiel est actuellement en construction. Après chaque phase complétée un événement  vous gardera informé des progrès. La construction prendra environ 8 ans.;The Kiel Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 8 years.;The Kiel Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 8 years.;The Kiel Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 8 years.;The Kiel Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 8 years.;The Kiel Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 8 years.;The Kiel Canal is currently under construction. After each completed phase an event will fire to keep you informed of the progress. Construction will take approximately 8 years.;;;;;;x
EVTDESC185918692;In the lakes and near the sea dredgers with dumpers were used to excavate the canal.;Dans les lacs et près des dragues de mer.Des camions-benne ont été utilisé pour creuser le canal.;In the lakes and near the sea dredgers with dumpers were used to excavate the canal.;In the lakes and near the sea dredgers with dumpers were used to excavate the canal.;In the lakes and near the sea dredgers with dumpers were used to excavate the canal.;In the lakes and near the sea dredgers with dumpers were used to excavate the canal.;In the lakes and near the sea dredgers with dumpers were used to excavate the canal.;In the lakes and near the sea dredgers with dumpers were used to excavate the canal.;;;;;;x
EVTDESC185918694;At first digging the Suez Canal was done the same way as thousands of years ago, with forced labor. Later dredges took over when was discovered it was cheaper to artificially flood the terrain and dredge the canal instead of dry excavation.;Au début la création du Canal de Suez  été fait la même façon qu' il y a des milliers d'années, avec le travail forcé. Des dragues ont repris quand il fut découvert qu'il était moins cher d' inonder le terrain et draguer le canal au lieu de creuser.;At first digging the Suez Canal was done the same way as thousands of years ago, with forced labor. Later dredges took over when was discovered it was cheaper to artificially flood the terrain and dredge the canal instead of dry excavation.;At first digging the Suez Canal was done the same way as thousands of years ago, with forced labor. Later dredges took over when was discovered it was cheaper to artificially flood the terrain and dredge the canal instead of dry excavation.;At first digging the Suez Canal was done the same way as thousands of years ago, with forced labor. Later dredges took over when was discovered it was cheaper to artificially flood the terrain and dredge the canal instead of dry excavation.;At first digging the Suez Canal was done the same way as thousands of years ago, with forced labor. Later dredges took over when was discovered it was cheaper to artificially flood the terrain and dredge the canal instead of dry excavation.;At first digging the Suez Canal was done the same way as thousands of years ago, with forced labor. Later dredges took over when was discovered it was cheaper to artificially flood the terrain and dredge the canal instead of dry excavation.;At first digging the Suez Canal was done the same way as thousands of years ago, with forced labor. Later dredges took over when was discovered it was cheaper to artificially flood the terrain and dredge the canal instead of dry excavation.;;;;;;x
EVTDESC185918695;Today armed bedouins have started a revolt among our workers at the Suez Canal and construction was halted until further notice. We suspect the British are behind this, they opposed our project from the beginning accusing us of using slave labor. The true reason is ofcourse that the canal is a threat to their strategic interests. We have no other choice but to abolish Corvée (a form of unpaid labor) to resume the project. Unfortunately this affair will cost us dearly, both finacially and timewise.;Aujourd'hui'hui les bédouins armés ont commencé une révolte parmi nos ouvriers au Canal de Suez et la construction a été interrompue jusqu'à nouvel ordre. Nous soupçonnons que les Anglais sont derrière cela, ils se sont opposés à notre projet nous accusant depuis le début d'utiliser une main-d'œuvre d'esclave. La vraie raison est biensur que le canal est une menace à leurs intérêts stratégiques.Nous devons abolir la Corvée. Malheureusement cette affaire nous coûtera chère en temps et en argents;Today armed bedouins have started a revolt among our workers at the Suez Canal and construction was halted until further notice. We suspect the British are behind this, they opposed our project from the beginning accusing us of using slave labor. The true reason is ofcourse that the canal is a threat to their strategic interests. We have no other choice but to abolish Corvée (a form of unpaid labor) to resume the project. Unfortunately this affair will cost us dearly, both finacially and timewise.;Today armed bedouins have started a revolt among our workers at the Suez Canal and construction was halted until further notice. We suspect the British are behind this, they opposed our project from the beginning accusing us of using slave labor. The true reason is ofcourse that the canal is a threat to their strategic interests. We have no other choice but to abolish Corvée (a form of unpaid labor) to resume the project. Unfortunately this affair will cost us dearly, both finacially and timewise.;Today armed bedouins have started a revolt among our workers at the Suez Canal and construction was halted until further notice. We suspect the British are behind this, they opposed our project from the beginning accusing us of using slave labor. The true reason is ofcourse that the canal is a threat to their strategic interests. We have no other choice but to abolish Corvée (a form of unpaid labor) to resume the project. Unfortunately this affair will cost us dearly, both finacially and timewise.;Today armed bedouins have started a revolt among our workers at the Suez Canal and construction was halted until further notice. We suspect the British are behind this, they opposed our project from the beginning accusing us of using slave labor. The true reason is ofcourse that the canal is a threat to their strategic interests. We have no other choice but to abolish Corvée (a form of unpaid labor) to resume the project. Unfortunately this affair will cost us dearly, both finacially and timewise.;Today armed bedouins have started a revolt among our workers at the Suez Canal and construction was halted until further notice. We suspect the British are behind this, they opposed our project from the beginning accusing us of using slave labor. The true reason is ofcourse that the canal is a threat to their strategic interests. We have no other choice but to abolish Corvée (a form of unpaid labor) to resume the project. Unfortunately this affair will cost us dearly, both finacially and timewise.;Today armed bedouins have started a revolt among our workers at the Suez Canal and construction was halted until further notice. We suspect the British are behind this, they opposed our project from the beginning accusing us of using slave labor. The true reason is ofcourse that the canal is a threat to their strategic interests. We have no other choice but to abolish Corvée (a form of unpaid labor) to resume the project. Unfortunately this affair will cost us dearly, both finacially and timewise.;;;;;;x
