EVT_8211003_NAME;Research of Wernher von Braun;;;;;;;;;;X
EVT_8211003_DESC;At war’s end, American, British, and Soviet scientific intelligence teams competed to capture Germany's rocket engineers. The United States benefited the most with Operation Paperclip, recruiting von Braun and most of his engineering team, who later helped develop the American missile and space exploration programs;;;;;;;;;;X
EVT_8211003_A;Ok;;;;;;;;;;X
EVT_8211004_NAME;Research of Sergei Korolyov;;;;;;;;;;X
EVT_8211004_DESC;After almost a year in the area around Peenemünde, Soviet officials moved most of the captured German rocket specialists to Gorodomlya Island on Lake Seliger, about 240 kilometres northwest of Moscow. They were not allowed to participate in Soviet missile design, but were used as problem-solving consultants to the Soviet engineers.;;;;;;;;;;X
EVT_8211004_A;Ok;;;;;;;;;;X
EVT_8211008_NAME;Launch of Sputnik;;;;;;;;;;X
EVT_8211008_DESC;The Sputnik program is the commonly known name of a group of various robotic spacecraft missions launched by the Soviet Union. The first of these, Sputnik 1, launched the first human-made object to orbit the Earth. That launch took place on October 4, 1957 as part of the International Geophysical Year and demonstrated the viability of using artificial satellites to explore the upper atmosphere;;;;;;;;;;X
EVT_8211008_A;Hooray!;;;;;;;;;;X
EVT_8211009_NAME;Launch of Sputnik;;;;;;;;;;X
EVT_8211009_DESC;The Sputnik program is the commonly known name of a group of various robotic spacecraft missions launched by the Soviet Union. The first of these, Sputnik 1, launched the first human-made object to orbit the Earth. That launch took place on October 4, 1957 as part of the International Geophysical Year and demonstrated the viability of using artificial satellites to explore the upper atmosphere;;;;;;;;;;X
EVT_8211009_A;Damn!;;;;;;;;;;X
EVT_8211010_NAME;Launch of Explorer;;;;;;;;;;X
EVT_8211010_DESC;Explorer 1 was the first Earth satellite of the United States, launched as part of its participation in the International Geophysical Year. Explorer 1 was launched on January 31, 1958 and was the first spacecraft to detect the Van Allen radiation belt. It remained in orbit until 1970, and has been followed by more than 90 scientific spacecraft in the Explorer series;;;;;;;;;;X
EVT_8211010_A;Hooray!;;;;;;;;;;X
EVT_8211011_NAME;Launch of Explorer;;;;;;;;;;X
EVT_8211011_DESC;Explorer 1 was the first Earth satellite of the United States, launched as part of its participation in the International Geophysical Year. Explorer 1 was launched on January 31, 1958 and was the first spacecraft to detect the Van Allen radiation belt. It remained in orbit until 1970, and has been followed by more than 90 scientific spacecraft in the Explorer series;;;;;;;;;;X
EVT_8211011_A;Damn!;;;;;;;;;;X
EVT_8211015_NAME;Gagarin in Space;;;;;;;;;;X
EVT_8211015_DESC;On 12 April 1961, aboard the Vostok 3KA-3 (Vostok 1), Gagarin became both the first human to travel into space, and the first to orbit the earth. His call sign was Kedr (Siberian Pine);;;;;;;;;;X
EVT_8211015_A;Hooray!;;;;;;;;;;X
EVT_8211016_NAME;Gagarin in Space;;;;;;;;;;X
EVT_8211016_DESC;On 12 April 1961, aboard the Vostok 3KA-3 (Vostok 1), Gagarin became both the first human to travel into space, and the first to orbit the earth. His call sign was Kedr (Siberian Pine);;;;;;;;;;X
EVT_8211016_A;Damn!;;;;;;;;;;X
EVT_8211017_NAME;Shepard in Space;;;;;;;;;;X
EVT_8211017_DESC;On 5 May 1961, Alan Shepard became the first American in space, when he was launched on the Mercury-Redstone 3 suborbital mission, in a spacecraft named Freedom 7. Though he did not achieve orbit, he was the first person to exercise manual control over his spacecraft's attitude and retro-rocket firing;;;;;;;;;;X
EVT_8211017_A;Hooray!;;;;;;;;;;X
EVT_8211018_NAME;Shepard in Space;;;;;;;;;;X
EVT_8211018_DESC;On 5 May 1961, Alan Shepard became the first American in space, when he was launched on the Mercury-Redstone 3 suborbital mission, in a spacecraft named Freedom 7. Though he did not achieve orbit, he was the first person to exercise manual control over his spacecraft's attitude and retro-rocket firing;;;;;;;;;;X
EVT_8211018_A;Damn!;;;;;;;;;;X
EVT_8211022_NAME;L3 Moon Expedition;;;;;;;;;;X
EVT_8211022_DESC;A variant of the Soyuz craft, the LOK command ship, carried two men, and was consisted of three modules like the regular Soyuz 7K-OK, but was heavier by a few tons. The 7K-OK was half the mass of the three-man Apollo orbital craft (command ship). In the Soviet expedition one cosmonaut alone landed on Moon. On the Moon, the cosmonaut undertook moonwalks on foot and by Lunokhods, collecting rocks and hoisting the Soviet flag;;;;;;;;;;X
EVT_8211022_A;Hooray!;;;;;;;;;;X
EVT_8211023_NAME;L3 Moon Expedition;;;;;;;;;;X
EVT_8211023_DESC;A variant of the Soyuz craft, the LOK command ship, carried two men, and was consisted of three modules like the regular Soyuz 7K-OK, but was heavier by a few tons. The 7K-OK was half the mass of the three-man Apollo orbital craft (command ship). In the Soviet expedition one cosmonaut alone landed on Moon. On the Moon, the cosmonaut undertook moonwalks on foot and by Lunokhods, collecting rocks and hoisting the Soviet flag;;;;;;;;;;X
EVT_8211023_A;Damn!;;;;;;;;;;X
EVT_8211024_NAME;Apollo 11;;;;;;;;;;X
EVT_8211024_DESC;The lunar trip took just over three days. Armstrong took over manual-flight-control at about 180 metres, and guided the Lunar Module to a landing on the Moon's Sea of Tranquility at 4:17 p.m. EDT, 20 July 1969. At 10:56:15 p.m. EDT, Armstrong became the first human to set foot on the Moon;;;;;;;;;;X
EVT_8211024_A;Hooray!;;;;;;;;;;X
EVT_8211025_NAME;Apollo 11;;;;;;;;;;X
EVT_8211025_DESC;The lunar trip took just over three days. Armstrong took over manual-flight-control at about 180 metres, and guided the Lunar Module to a landing on the Moon's Sea of Tranquility at 4:17 p.m. EDT, 20 July 1969. At 10:56:15 p.m. EDT, Armstrong became the first human to set foot on the Moon;;;;;;;;;;X
EVT_8211025_A;Damn!;;;;;;;;;;X
