;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
post_napoleonic_thought;Infiltration;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
strategic_mobility;Great War Doctrine;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
point_defense_system;World War Doctrine;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
deep_defense_system;Proxy War;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
infiltration;Mutual Assured Destruction;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
modern_army_doctrine;Assymetric Warfare;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
flintlock_rifles;Bolt-action Rifles;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
muzzle_loaded_rifles;Divisional Structure;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
breech_loaded_rifles;Light Infantry;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
machine_guns;Guerrilla;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
bolt_action_rifles;Heavy Infantry;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
modern_divisional_structure;Special Forces;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
bronze_muzzle_loaded_artillery;Indirect Artillery Fire;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
iron_muzzle_loaded_artillery;Heavy Armament;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
iron_breech_loaded_artillery;Modern Tank Weapons;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
steel_breech_loaded_artillery;Antitank Weapons;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
indirect_artillery_fire;Main Battle Tank;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
heavy_armament_dunno;Missile Armed Tanks;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
military_staff_system;Military Directionism;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
military_plans;Aeronautics;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
military_statistics;First generation subsonic aircraft;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
military_logistics;Second generation subsonic aircraft;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
military_directionism;Surface-to-air missile;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
aeronautics;Third generation aircraft;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
army_command_principle;Army NCO Training;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
army_professionalism;Great War Experience;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
army_decision_making;World War Radar;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
army_risk_management;Strategic Bomber;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
army_nco_training;Intercontinental ballistic missile;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
great_war_experience;Submarine-launched ballistic missile;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
post_nelsonian_thought;High Sea Battle fleet;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
battleship_column_doctrine;High Naval Doctrine;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
raider_group_doctrine;Command of the Sea;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
blue_and_brown_water_schools;Sea Denial Strategy;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
high_sea_battle_fleet;Power Projection;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
modern_naval_doctrine;Green and Blue Water Navies;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
clipper_design;Steam Turbine Ships;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
steamers;Oil-Driven Ships;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
iron_steamers;Modern Shipbiulding;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
steel_steamers;Corvettes;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
steam_turbine_ships;Frigates;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
oil_driven_ships;Destroyers;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
naval_design_bureaus;Advanced Naval Design;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
fire_control_systems;High Naval Design;;;;;;;;;;;;;;;;;;;;;;;;;;x;;;;
