ABU_1162;Bahrain;;;;;;;;;;;;;x
AFG_1217;Pashtunistan;;;;;;;;;;;;;x
AFG_1218;Peshawar;;;;;;;;;;;;;x
ALD_1704;Oran;;;;;;;;;;;;;x
ALD_1714;Saoura;;;;;;;;;;;;;x
ALD_1718;Oasis;;;;;;;;;;;;;x
ARG_2355;Pampas;;;;;;;;;;;;;x
ARG_2360;Entre Rios;;;;;;;;;;;;;x
ARG_2368;Salta;;;;;;;;;;;;;x
ARG_2374;Catamarca;;;;;;;;;;;;;x
ARG_2377;Chaco Austral;;;;;;;;;;;;;x
ARG_2384;Córdoba;;;;;;;;;;;;;x
ARG_2391;Patagonia;;;;;;;;;;;;;x
ARG_2393;Cuyo;;;;;;;;;;;;;x
AST_2528;New Guinea;;;;;;;;;;;;;x
AUS_612;Tyrol;;;;;;;;;;;;;x
AUS_613;Styria;;;;;;;;;;;;;x
AUS_619;Austria;;;;;;;;;;;;;x
AUS_624;Burgenland;;;;;;;;;;;;;x
AUS_647;Transtisa;;;;;;;;;;;;;x
AUS_652;Banat;;;;;;;;;;;;;x
AUS_654;Transylvania;;;;;;;;;;;;;x
AUS_702;Galicia;;;;;;;;;;;;;x
AUS_726;Lombardy;;;;;;;;;;;;;x
AUS_729;Venetia;;;;;;;;;;;;;x
AUS_792;Vojvodina;;;;;;;;;;;;;x
BAL_1438;Lesser Sunda Islands;;;;;;;;;;;;;x
BAV_595;Franconia;;;;;;;;;;;;;x
BAV_599;Bavaria;;;;;;;;;;;;;x
BEL_1977;Congo-Kasai;;;;;;;;;;;;;x
BEL_387;Flanders;;;;;;;;;;;;;x
BEL_394;Wallonia;;;;;;;;;;;;;x
BOL_2314;Chuquisaca;;;;;;;;;;;;;x
BOL_2321;Santa Cruz;;;;;;;;;;;;;x
BRZ_2421;Goias;;;;;;;;;;;;;x
BRZ_2461;Santa Catarina;;;;;;;;;;;;;x
BRZ_2540;Samoa;;;;;;;;;;;;;x
BUK_1198;Bukhara;;;;;;;;;;;;;x
BUK_1207;Bactria;;;;;;;;;;;;;x
BUK_1199;Samarkand;;;;;;;;;;;;;x
BUR_1330;Lower Burma;;;;;;;;;;;;;x
BUR_1339;Upper Burma;;;;;;;;;;;;;x
CHI_1082;Ussuri;;;;;;;;;;;;;x
CHI_1473;Anhui;;;;;;;;;;;;;x
CHI_1479;Fengtian;;;;;;;;;;;;;x
CHI_1505;Guizhou;;;;;;;;;;;;;x
CHI_1516;Hubei;;;;;;;;;;;;;x
CHI_1553;Amur;;;;;;;;;;;;;x
CHI_1555;Jilin;;;;;;;;;;;;;x
CHI_1594;Tarim Basin;;;;;;;;;;;;;x
CHI_1600;Dzungaria;;;;;;;;;;;;;x
CHI_2062;Shaanxi;;;;;;;;;;;;;x
CHI_2608;Outer Mongolia;;;;;;;;;;;;;x
DEN_251;Greenland;;;;;;;;;;;;;x
DEN_252;North Atlantic Islands;;;;;;;;;;;;;x
ECU_2279;Quito;;;;;;;;;;;;;x
EGY_1754;Cyrenaica;;;;;;;;;;;;;x
EGY_1827;Khartoum;;;;;;;;;;;;;x
EGY_1834;Nubia;;;;;;;;;;;;;x
