ABU;Trucial States;;;;;;;;;;;;x;;;;
ABU_ADJ;Trucial;;;;;;;;;;;;x;;;;
UCA;Federal Republic of Central America;;;;;;;;;;x;;;
USA;United States of America;;;;;;;;;;x;;;
CSA;Confederate States of America;;;;;;;;;;x;;;
SIE;Transylvania;;;;;;;;;;x;;;
BOH;Bohemia;Boh瘱e;B鐬men;;Bohemia;;;;;;;;;x;;;;
DAI;Annam;;;;;;;;;;;;;x;;;;
EIC;East India Company;;;;;;;;;;;;x;;;;
EIC_ADJ;Company;;;;;;;;;;;;x;;;
AHO;Ahom;;;;;;;;;;;;;x;;;;
AHO_ADJ;Ahomi;;;;;;;;;;;;;x;;;;
BAH;Bahrain;;;;;;;;;;;;x;;;;
BAH_ADJ;Bahraini;;;;;;;;;;;;x;;;;
BWP;Bahawalpur;;;;;;;;;;;;x;;;;
BWP_ADJ;Bahawalpuri;;;;;;;;;;;;x;;;;
CCS;Circassia;;;;;;;;;;;;;x;;;;
CCS_ADJ;Circassian;;;;;;;;;;;;;x;;;;
KUW;Kuwait;;;;;;;;;;;;x;;;;
KUW_ADJ;Kuwaiti;;;;;;;;;;;;x;;;;
MRT;Pune;;;;;;;;;;;;;x;;;;
MRT_ADJ;Pune;;;;;;;;;;;;;x;;;;
CAU;Caucasian Imamate;;;;;;;;;;;;;x;;;;
CAU_ADJ;Caucasian;;;;;;;;;;;;;x;;;;
KZK;Kazakhstan;;;;;;;;;;;;;x;;;;
KZK_ADJ;Kazakh;;;;;;;;;;;;;x;;;;
REW;Rewa;;;;;;;;;;;;x;;;;
REW_ADJ;Rewa;;;;;;;;;;;;x;;;
ANK;Ankole;;;;;;;;;;;;x;;;;
ANK_ADJ;Ankole;;;;;;;;;;;;x;;;;
BNY;Bunyoro;;;;;;;;;;;;x;;;;
BNY_ADJ;Bunyoro;;;;;;;;;;;;x;;;;
COC;Cochin;;;;;;;;;;;;x;;;;
COC_ADJ;Cochin;;;;;;;;;;;;x;;;
PAT;Patiala;;;;;;;;;;;;x;;;;
PAT_ADJ;Patiala;;;;;;;;;;;;x;;;
WIA;Vientiane;;;;;;;;;;;;x;;;;
WIA_ADJ;Vientiane;;;;;;;;;;;;x;;;
LOA;Loango;;;;;;;;;;;;x;;;;
LOA_ADJ;Loango;;;;;;;;;;;;x;;;;
KZE;Kazembe;;;;;;;;;;;;x;;;;
KZE_ADJ;Kazembe;;;;;;;;;;;;x;;;;
ALS;Alsace;;;;;;;;;;;;;x;;;;
ALS_ADJ;Alsatian;;;;;;;;;;;;;x;;;;
IDE;Idel-Ural;;;;;;;;;;;;;x;;;;
IDE_ADJ;Idel-Ural;;;;;;;;;;;;;x;;;;
HIL;Jabal Shammar;;;;;;;;;;;;x;;;;
HIL_ADJ;Jabal Shammar;;;;;;;;;;;;x;;;;
