;;;;;;;;;;;;;x
MSQ;Miskito Coast;;;;;;;;;;;;;x
MSQ_ADJ;Misikito;;;;;;;;;;;;;x
muzzle_loaded_rifles;Caplock Rifles;Fusils charg? par le canon;Vorderlader;;Fusiles avancarga;;;;;;;;;x;;;;
muzzle_loaded_rifles_desc;Caplock Rifles;Fusils charg? par le canon;Vorderlader;;Fusiles avancarga;;;;;;;;;x;;;;
miskito;Misikito;;;;;;;;;;;;;x
ATJ;Aceh;;;;;;;;;;;;;x
rundi;Tutsi;;;;;;;;;;;;;x
yankee;American;;;;;;;;;;;;;x
ruanda;Hutu;;;;;;;;;;;;;x
mandate_of_heaven;Mandate of Heaven;;;;;;;;;;;;;x
WRS;Warsangali;;;;;;;;;;;;;x
WRS_ADJ;Warsangalan;;;;;;;;;;;;;x
far_east_asian;Far East Asian;;;;;;;;;;;;;x
LHJ;Lahej;;;;;;;;;;;;;x
LHJ_ADJ;Lahejite;;;;;;;;;;;;;x
FDL;Fadhli;;;;;;;;;;;;;x
FDL_ADJ;Fadhlian;;;;;;;;;;;;;x
KTH;Kathiri;;;;;;;;;;;;;x
KTH_ADJ;Kathirian;;;;;;;;;;;;;x
MHR;Mahra;;;;;;;;;;;;;x
MHR_ADJ;Mahran;;;;;;;;;;;;;x
BAM;Bamum;;;;;;;;;;;;;x
BAM_ADJ;Bamuman;;;;;;;;;;;;;x
DOS;Dosso;;;;;;;;;;;;;x
DOS_ADJ;Zarman;;;;;;;;;;;;;x
ADW;Adamawa;Adamawa;Adamawa;;;;;;;;;;;x
ADW_ADJ;Adamawan;Adamawan;Adamawan;;;;;;;;;;;x
shilluk;Shilluk;;;;;;;;;;;;;x
SHL;Shilluk;;;;;;;;;;;;;x
SHL_ADJ;Shilluk;;;;;;;;;;;;;x
TAH;Tahiti;;;;;;;;;;;;;x
TAH_ADJ;Tahitian;;;;;;;;;;;;;x
BAH;Bahawalpur;;;;;;;;;;;;;x
BAH_ADJ;Bahawalpuran;;;;;;;;;;;;;x
MLD;Maldives;;;;;;;;;;;;;x
MLD_ADJ;Maldivian;;;;;;;;;;;;;x
maldivian;Maldivian;;;;;;;;;;;;;x
BNY;Bunyoro;;;;;;;;;;;;;x
BNY_ADJ;Bunyoran;;;;;;;;;;;;;x
ANK;Ankole;;;;;;;;;;;;;x
ANK_ADJ;Ankolan;;;;;;;;;;;;;x
nyoro;Nyoro;;;;;;;;;;;;;x
hema;Hema;;;;;;;;;;;;;x
JAP_prussian_constitutionalism;Greater Japanese Empire;;;;;;;;;;;;;x
CHI_presidential_dictatorship;Beiyang China;;;;;;;;;;;;;x
CHI_democracy;Republic of China;;;;;;;;;;;;;x
CHI_absolute_monarchy;Empire of China;;;;;;;;;;;;;x
PAP_reactionary;College of Cardinals;;;;;;;;;;;;;x
USA_reactionary;Federalists;;;;;;;;;;;;;x
USA_reactionary2;Southern Democrats;;;;;;;;;;;;;x
ITP_reactionary;College of Cardinals;;;;;;;;;;;;;x
KMT_fascist_dictatorship;National Protection Alliance;;;;;;;;;;;;;x
KMT_presidential_dictatorship;Republic of China;;;;;;;;;;;;;x
KMT_democracy;Republic of China;;;;;;;;;;;;x
KMT_proletarian_dictatorship;Democratic Chinese People's Republic;;;;;;;;;;;;x
CHI_proletarian_dictatorship;People's Republic of China;;;;;;;;;;;;x
FRA_absolute_monarchy;French Empire;;;;;;;;;;;;;x
FRA_prussian_constitutionalism;French Empire;;;;;;;;;;;;;x
BSH_absolute_monarchy;Basutoland;;;;;;;;;;;;;x
BIA;Biafra;;;;;;;;;;;;;x
BIA_ADJ;Biafran;;;;;;;;;;;;;x
prussian_constitutionalism;Semi-Constitutional Monarchy;;;;;;;;;;;;;x
hms_government;Constitutional Monarchy;;;;;;;;;;;;;x
GEN;Genoa;;;;;;;;;;;;;x
GEN_ADJ;Genoese;;;;;;;;;;;;;x
GEN_absolute_monarchy;Genoa;;;;;;;;;;;;;x
GEN_prussian_constitutionalism;Genoa;;;;;;;;;;;;;x
GEN_hms_government;Genoa;;;;;;;;;;;;;x
GEN_fascist_dictatorship;Genoa;;;;;;;;;;;;;x
GEN_presidential_dictatorship;Ligurian Republic;;;;;;;;;;;;;x
GEN_democracy;Genoa;;;;;;;;;;;;x
GEN_proletarian_dictatorship;Genoa;;;;;;;;;;;;x
ITP;Italy;;;;;;;;;;;;;x
ITP_ADJ;Italian;;;;;;;;;;;;;x
ITP_fascist_dictatorship_ADJ;Roman;;;;;;;;;;;;;x
ITP_proletarian_dictatorship_ADJ;Roman;;;;;;;;;;;;;x
ITP_absolute_monarchy_ADJ;Papal;;;;;;;;;;;;;x
ITP_prussian_constitutionalism_ADJ;Papal;;;;;;;;;;;;;x
ITP_absolute_monarchy;Pontifical Italy;;;;;;;;;;;;;x
ITA_absolute_monarchy;Italian Empire;;;;;;;;;;;;;x
ITP_prussian_constitutionalism;Italian Confederation;;;;;;;;;;;;;x
ITP_hms_government;Italy;;;;;;;;;;;;;x
ITP_fascist_dictatorship;Roman Socialist Republic;;;;;;;;;;;;;x
ITP_presidential_dictatorship;Italy;;;;;;;;;;;;;x
ITP_democracy;Italy;;;;;;;;;;;;x
ITP_proletarian_dictatorship;Roman People's Republic;;;;;;;;;;;;x
IDO;Indochina;;;;;;;;;;;;;x
IDO_ADJ;Indochinese;;;;;;;;;;;;;x
IDO_absolute_monarchy;Indochina;;;;;;;;;;;;;x
IDO_prussian_constitutionalism;Indochina;;;;;;;;;;;;;x
IDO_hms_government;Indochina;;;;;;;;;;;;;x
IDO_fascist_dictatorship;United Indochinese States;;;;;;;;;;;;;x
IDO_presidential_dictatorship;Indochina;;;;;;;;;;;;;x
IDO_democracy;Indochina;;;;;;;;;;;;x
IDO_proletarian_dictatorship;Indochinese Populist Union;;;;;;;;;;;;x
aromanian;Aromanian;;;;;;;;;;;;;x
romansh;Romansh;;;;;;;;;;;;;x
UBD_absolute_monarchy;United Baltic Duchy;;;;;;;;;;;;;x
UBD_prussian_constitutionalism;United Baltic Duchy;;;;;;;;;;;;;x
UBD_hms_government;Livonia;;;;;;;;;;;;;x
UBD_fascist_dictatorship;Baltic State;;;;;;;;;;;;;x
UBD_presidential_dictatorship;Livonia;;;;;;;;;;;;;x
UBD_democracy;Livonia;;;;;;;;;;;;x
UBD_proletarian_dictatorship;Livonian Socialist Republic;;;;;;;;;;;;x
ITA_fascist_dictatorship;Italian Social Republic;;;;;;;;;;;;;x
FRA_proletarian_dictatorship;Commune of France;;;;;;;;;;;;;x
CAT_proletarian_dictatorship;Anarchist Catalonia;;;;;;;;;;;;;x
AGN_proletarian_dictatorship;Anarchist Aragon;;;;;;;;;;;;;x
SPA_proletarian_dictatorship;Anarchist Spain;;;;;;;;;;;;;x
IBR_proletarian_dictatorship;Anarchist Iberia;;;;;;;;;;;;;x
BSH;Lesotho;Basotho;Basotho;;Basotho;;;;;;;;;;x;;;;;;;;;;;;;;
BSH_ADJ;Basotho;Basotho;Basotho;;;;;;;;;;;;x;;;;;;;;;;;;;;
ENG_absolute_monarchy;British Empire;;;;;;;;;;;;x
ENG_democracy;British Commonwealth;;;;;;;;;;;;x
ENG_presidential_dictatorship;British Commonwealth;;;;;;;;;;;;x
ENG_fascist_dictatorship;Empire of Britannia;;;;;;;;;;;;x
tigray;Tigraway;;;;;;;;;;;;;x
sidama;Sidamo;;;;;;;;;;;;;x
CHK;Champassak;Champassak;Champassak;Champasak;Champasak;Champassak;Champassak;Champassak;;;;;;x;
CHK_ADJ;Champassaki;champassak;Champassaki;Champasak;de Champasak;Champassak;Champassaki;Champassakijsk˝;;;;;;x;
CHK_conservative;Royal Faction;;;;;;;;;;;;x
CHK_liberal;The Liberal Faction;;;;;;;;;;;;x
CHK_reactionary;The Nationalist Faction;;;;;;;;;;;;x
CHK_anarcho_liberal;The Radical Faction;;;;;;;;;;;;x
CHK_socialist;The Socialist Faction;;;;;;;;;;;;x
CHK_communist;The Communist Faction;;;;;;;;;;;;x
CHK_fascist;The Fascist Faction;;;;;;;;;;;;x
LVN;Lombardy-Venetia;;;;;;;;;;;;;x
LVN_ADJ;Italian;;;;;;;;;;;;;x
FIU;Fiume;;;;;;;;;;;;;x
FIU_ADJ;Fiuman;;;;;;;;;;;;;x
AGN;Aragon;;;;;;;;;;;;x
AGN_ADJ;Aragonese;;;;;;;;;;;;x
HNS;Hanseatic League;;;;;;;;;;;;x
HNS_ADJ;Hanseatic;;;;;;;;;;;;x
HNS_conservative;Hansetag;;;;;;;;;;;;;x
HNS_liberal;Stadtebund;;;;;;;;;;;;;x
HNS_communist;Likedeeler;;;;;;;;;;;;;x
