##### NZF #####;
NZF_absolute_monarchy;Royaume de Nouvelle-Zélande;x;
NZF_prussian_constitutionalism;Royaume de Nouvelle-Zélande;x;
NZF_hms_government;Royaume de Nouvelle-Zélande;x;
NZF_democracy;Néozélande;x;
NZF_proletarian_dictatorship;Commune de Aotearoa;x;
NZF_presidential_dictatorship;République de Nouvelle-Zélande;x;
NZF_bourgeois_dictatorship;République de Nouvelle-Zélande;x;
NZF_fascist_dictatorship;État Néozélandais;x;
NZF_colonial_company;Colonie de Nouvelle-Zélande;x;
NZF_dominion;Dominion de Nouvelle-Zélande;x;
NZF_ADJ;Néozélandais;x;
NZF_proletarian_dictatorship_ADJ;Aotearoan;x;
##### FAS #####;
FAS_absolute_monarchy;Royaume d'Australie;x;
FAS_prussian_constitutionalism;Royaume d'Australie;x;
FAS_hms_government;Royuame d'Australie;x;
FAS_democracy;Australie;x;
FAS_proletarian_dictatorship;Australie des Jacobins;x;
FAS_presidential_dictatorship;États-Unis d'Australie;x;
FAS_bourgeois_dictatorship;États-Unis d'Australie;x;
FAS_fascist_dictatorship;État Australien;x;
FAS_colonial_company;Colonie d'Australie;x;
FAS_dominion;Dominion d'Australie;x;
FAS_ADJ;Australien;x;
##### FCA #####;
FCA_absolute_monarchy;Royaume du Napoleane;x;
FCA_prussian_constitutionalism;Royaume du Napoleane;x;
FCA_hms_government;Royaume du Napoleane;x;
FCA_democracy;République Napoleane;x;
FCA_proletarian_dictatorship;Commune de Canada;x;
FCA_presidential_dictatorship;République Canadienne;x;
FCA_bourgeois_dictatorship;République Canadienne;x;
FCA_fascist_dictatorship;État de Napoleane;x;
FCA_colonial_company;Dominion de Napoleane;x;
FCA_dominion;Dominion de Napoleane;x;
FCA_ADJ;Napoleane;x;
FCA_proletarian_dictatorship_ADJ;Canadien;x;
FCA_presidential_dictatorship_ADJ;Canadien;x;
FCA_bourgeois_dictatorship_ADJ;Canadien;x;
##### ULA #####;
ULA_absolute_monarchy;Royaume de Louisiane;x;
ULA_prussian_constitutionalism;Royaume de Louisiane;x;
ULA_hms_government;Royaume de Louisiane;x;
ULA_democracy;République Louisiane;x;
ULA_proletarian_dictatorship;Commune de Mississippienne;x;
ULA_presidential_dictatorship;République Mississippienne;x;
ULA_bourgeois_dictatorship;République Mississippienne;x;
ULA_fascist_dictatorship;État Louisien;x;
ULA_colonial_company;Dominion de Louisiane;x;
ULA_dominion;Dominion de Louisiane;x;
ULA_ADJ;Louisien;x;
ULA_proletarian_dictatorship_ADJ;Mississippien;x;
ULA_presidential_dictatorship_ADJ;Mississippien;x;
ULA_bourgeois_dictatorship_ADJ;Mississippien;x;
##### EIC #####;
EIC_absolute_monarchy;The East Indian Empire;x;
EIC_prussian_constitutionalism;The East Indian Empire;x;
EIC_hms_government;The East Indian Empire;x;
EIC_democracy;The Indian Free State;x;
EIC_proletarian_dictatorship;The Peoples Mandate of India;x;
EIC_presidential_dictatorship;The Indian Free State;x;
EIC_bourgeois_dictatorship;The East India Company;x;
EIC_fascist_dictatorship;The Indian Free State;x;
EIC_colonial_company;The East India Company;x;
EIC_dominion;The East India Company;x;
EIC_ADJ;EIC;x;
EIC_democracy_ADJ;Indian;x;
EIC_proletarian_dictatorship_ADJ;Indian;x;
EIC_presidential_dictatorship_ADJ;Indian;x;
EIC_fascist_dictatorship_ADJ;Indian;x;
##### OCC #####;
OCC_absolute_monarchy;Occitan Reialme;x;
OCC_prussian_constitutionalism;Occitan Reialme;x;
OCC_hms_government;Occitània;x;
OCC_democracy;Republica Occitània;x;
OCC_proletarian_dictatorship;Republica Occitània;x;
OCC_presidential_dictatorship;Republica Occitan;x;
OCC_bourgeois_dictatorship;Republica Occitan;x;
OCC_fascist_dictatorship;Estat Occitan;x;
OCC_colonial_company;Estat Occitania;x;
OCC_dominion;Estat Occitania;x;
OCC_ADJ;Occitan;x;
##### ACA #####;
ACA_absolute_monarchy;Royaume d'Acadie;x;
ACA_prussian_constitutionalism;Royaume d'Acadie;x;
ACA_hms_government;Royaume d'Acadie;x;
