CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
animist_country;Animist Country;;;;;;;;;;;;;x
bektashi_country;Bektashi Country;;;;;;;;;;;;;x
catholic_country;Catholic Country;;;;;;;;;;;;;x
coptic_country;Coptic Country;;;;;;;;;;;;;x
gelugpa_country;Gelugpa Country;;;;;;;;;;;;;x
hindu_country;Hindu Country;;;;;;;;;;;;;x
ibadi_country;Ibadi Country;;;;;;;;;;;;;x
jewish_country;Jewish Country;;;;;;;;;;;;;x
mahayana_country;Mahayana Country;;;;;;;;;;;;;x
mormon_country;Mormon Country;;;;;;;;;;;;;x
orthodox_country;Orthodox Country;;;;;;;;;;;;;x
protestant_countr;Protestant Country;;;;;;;;;;;;;x
shiite_country;Shiite Country;;;;;;;;;;;;;x
shinto_country;Shinto Country;;;;;;;;;;;;;x
sikh_country;Sikh Country;;;;;;;;;;;;;x
sunni_country;Sunni Country;;;;;;;;;;;;;x
theravada_country;Theravada Country;;;;;;;;;;;;;x
yazidi_country;Yazidi Country;;;;;;;;;;;;;x
